R1,G1,B1,R2,G2,B2,DELTA_E,SIMILARITY
204,215,38,135,62,81,67.47724444530633,1
186,118,123,230,103,82,13.943378441375575,1
49,47,29,61,92,65,18.356773479370304,0
39,65,131,231,44,114,40.25654350797966,0
116,114,117,83,43,45,26.567142519989986,1
101,27,33,84,80,82,22.992101746932956,0
163,157,153,167,162,78,21.480972586942023,0
67,104,89,33,32,35,28.091005969941147,0
20,18,21,219,207,79,76.81588957928959,0
225,98,47,240,42,29,9.722238802733015,1
62,65,84,14,170,95,46.42111817737542,0
198,204,194,54,53,56,58.9717398767671,1
26,187,95,35,82,160,58.096904735800386,1
153,60,67,35,50,57,35.01045238932839,1
77,80,85,227,80,92,34.66195235560824,1
237,169,80,153,188,142,29.748165569511933,1
40,77,160,45,43,44,27.034659459345804,1
83,36,53,48,118,74,51.429360708533,1
239,203,9,208,118,113,43.933301924728354,1
217,232,53,108,175,200,47.65045359839164,1
67,66,68,63,72,122,18.29023561851966,1
221,64,110,237,99,58,22.71712930559943,0
50,50,54,247,166,5,61.007535066570036,0
77,76,89,183,47,46,29.714210855425375,1
200,216,98,127,178,153,23.76334936899587,1
85,107,167,56,164,208,23.62602738069012,0
120,210,214,59,27,39,78.2143948335952,0
156,173,39,22,65,134,70.60990521214299,1
195,145,155,197,80,34,27.046905621945765,1
50,82,95,166,42,43,41.37592646642407,0
28,100,186,247,199,218,45.38918484102079,1
213,35,47,231,161,38,39.980019931575825,1
30,47,43,96,99,109,22.307928659494227,1
213,199,55,80,70,74,56.330887206132246,0
189,47,50,211,81,23,15.313180119109457,1
102,64,128,47,44,42,26.47439911971968,0
213,181,29,63,62,62,55.46356509746246,1
59,93,155,157,187,196,35.43583615174648,1
71,118,146,49,43,40,30.813067784800936,1
159,26,27,67,85,56,41.98971342339901,1
15,131,195,60,59,59,32.31948880191455,1
68,128,201,192,166,67,52.28551545210107,1
48,77,147,172,61,75,35.271930054105376,1
40,41,44,33,38,46,3.4862138260488056,1
33,138,95,83,36,53,56.31431643462505,0
172,174,41,79,56,111,70.80622388640067,1
43,44,47,189,50,58,33.74900334405679,1
31,86,66,218,36,64,57.64484178829292,1
59,63,56,190,185,60,52.985617169676395,1
140,35,58,55,60,63,26.818412794501615,1
247,199,218,184,160,171,13.643763686628494,1
178,110,49,50,44,50,38.32416386552726,0
